spec_path,label,status
./data/coughvid_spectrograms\coughvid_00039425-7f3a-42aa-ac13-834aaa2b6b92.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_0009eb28-d8be-4dc1-92bb-907e53bc5c7a.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_001328dc-ea5d-4847-9ccf-c5aa2a3f2d0f.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_0028b68c-aca4-4f4f-bb1d-cb4ed5bbd952.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00291cce-36a0-4a29-9e2d-c1d96ca17242.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_002d28bc-7806-4dfb-9c9b-afa8cb623cac.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_0037f67c-0d6f-42e6-ab94-66499d4d2bf4.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_003e1bf6-2ecf-4a00-9198-29db34e8d7ac.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_0044cb7b-448c-44e5-8302-ad8bd106fe3e.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_004c24d8-e8cd-4755-86f6-5a1d8c7920c7.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_005b8518-03ba-4bf5-86d2-005541442357.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_005bca13-18d1-4514-a086-cc8c3fafeeb2.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00745765-96ed-4e13-8ca7-7f6b793af78d.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00753bb4-cffb-472b-b391-09337558a678.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_007be9cd-6c5d-467f-a89c-e670fae075b4.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00802ac6-0e3b-4bba-bcdc-014f1fde7432.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_008ba489-31ad-44d8-856b-fcf72369dc46.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_009aa393-32ab-423f-8e6a-63d8d4d1476b.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_009b1e22-f451-40ae-9cbf-9f1ff5dec022.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00bf9f83-2e8f-47cf-a4f2-97f2beceebc1.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00ddf050-6939-4f33-9e54-fcb309b895ec.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00e2eb1e-83c1-407e-9332-efbdbcbca8ac.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00eead73-a2c2-480d-b2ee-d79b1a526871.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_00f6f5e7-2287-4e6c-865e-d790e096fb72.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_0101bfc8-f959-4614-8daa-ba64b76d742c.npy,0,Healthy
./data/coughvid_spectrograms\coughvid_0103f56e-61fb-454c-ab76-1a4ac4d0c849.npy,0,Healthy
