file_path,label,source
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Al_sc_Litt3200.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Ar_sc_Litt3200.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Ll_sc_Litt3200.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Lr_sc_Litt3200.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Pl_sc_Litt3200.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Pr_sc_Litt3200.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\106_2b1_Pl_mc_LittC2SE.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\106_2b1_Pr_mc_LittC2SE.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b3_Al_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b3_Ar_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b3_Ll_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b3_Lr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b3_Pl_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b3_Pr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b3_Tc_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b4_Al_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b4_Ar_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b4_Ll_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b4_Lr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b4_Pl_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b4_Pr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b4_Tc_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b5_Al_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b5_Ar_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b5_Ll_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b5_Lr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b5_Pl_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b5_Pr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_2b5_Tc_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_3p2_Al_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_3p2_Ar_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_3p2_Ll_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_3p2_Lr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_3p2_Pl_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_3p2_Pr_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\107_3p2_Tc_mc_AKGC417L.wav,1,icbhi
C:\Users\ASUS\Desktop\CAPSTONE_JOURNAL\DATASET\ICBHI_DATASET\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\109_1b1_Al_sc_Litt3200.wav,1,icbhi
